,"""Затверджено""
Проректор з навчально-методичної роботи 
                   _________ Вернидуб Р.М.",,,,,,,,,,,,,,," 2019-2020 навчальний рік
Розклад зимової екзаменаційної сесії 
 студентів бакалаврату Фізико-математичного факультету
(денна форма навчання)
Початок екзаменів: на 9.00, консультації: на 14.00                                                                                                              ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"""ЗАТВЕРДЖУЮ""  __________________________
Проректор  з навчально-методичної роботи 
проф. Вернидуб Р.М.",,,,,"РОЗКЛАД ЗИМОВОЇ ЕКЗАМЕНАЦІЙНОЇ СЕСІЇ НА ФАКУЛЬТЕТІ МАТЕМАТИКИ, ІНФОРМАТИКИ ТА ФІЗИКИ
2024-2025 навчальний рік
початок екзаменів о 9-30, початок консультацій о 14-00 (онлайн)
ліквідація академічної заборгованості з 9-30 на кафедрах",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,111 Математика,,"014.04 Середня освіта
(Математика)",,014.08 Середня освіта (Фізика),,"014.09 Середня освіта
(інформатика), 2022
",,"126 Інформаційні системи
 і технології, 2022
",,"122 Комп'ютерні науки
2022",,"121 Інженерія програмного 
забезпечення, 2022",,111 Математика,,"014.04 Середня освіта
(Математика)",,014.08 Середня освіта (Фізика),,"014.09 Середня освіта
(інформатика), 2022",,"126 Інформаційні системи
 і технології, 2022
",,"122 Комп'ютерні науки
2022",,"121 Інженерія програмного 
забезпечення, 2022",,"111 Математика
",,"014.04 Середня освіта (Математика)
",,,"014.08 Середня освіта (Фізика)
104 Фізика та астрономія",,"014.09 Середня освіта
(інформатика), 2021
",,"126 Інформаційні системи
 і технології, 2019
",,"122 Комп'ютерні науки
2019",,"121 Інженерія програмного 
забезпечення, 2019",,"121 Інженерія програмного 
забезпечення (ск.термін), 2022",,014 Середня освіта (математика),,014 Середня освіта (математика),,111 Математика,,014 Середня освіта(інформатика),,122 Комп'ютерні науки,,014 Середня освіта (Фізика),,104 Фізика та астрономія,,014 Середня освіта (Математика),,"Середння освіта (Математика)
Теорія та методитка навчання математики",,"111 Математика
Фінансова математикиа",,014 Середня освіта (Інформатика),,122 Комп'ютерні науки,,014 Середня освіта (Фізика),,"104 Фізика та астрономія
Комп'ютерна фізика"
,,1м  (18),,1мсо  (23),,1фсо(2),,11 і(13),,11 іст (7),, 11 кн (12),,11 іпз (25),,21м (7),,21мсо (23),,2фсо(6) ,,21 І (15),,21 ІСТ (6),,21 КН (8),,21 ІПЗ (21+1),,31 ММФ (5),32 ММЕ(7),31 МСОФ (11),32 МСОЕ (4),3 МСОА (7),"3фа(3), 31фмісо(8), 32фсор(1)",,31 І (20),,31 ІСТ (7),,31 КН (12),,31 ІПЗ (18),,32 ІПЗ (12),,"1МСОп (1.4) 
(2) нп 2023 ",,"1МСОн (1.9)
 (6) нп 2023",,"1МФМн (1.9)
(5) нп 2022",,"11Ім (1.4)
(12) нп 2022",,"11 КНм (1.4)
(18+4) нп 2024",,"1 ФСОп (1.4)
(7) нп 2024",,"1ФКФн  (1.9)
(6)  нп 2023",,"2МСОп  (1.4)
(1) нп 2023",,"2МСОн (1.9) 
(4) нп 2023
",,"2МФМн (1.9)
(10) нп2022",,"21 Ім (1.4) 
(21) нп 2022",,"21 КНм (1.4)
(9)  нп 2022
",,"2 ФСОп (1.4)
(6) нп 2022",,"2 ФКФ (1.9) 
(2) нп 2023"
,,СКЛАДАННЯ ЗАЛІКІВ  до 22 грудня 2023 року,,,,,,СКЛАДАННЯ ЗАЛІКІВ  до 22грудня 2023 року,,,,СКЛАДАННЯ ЗАЛІКІВ  до 22 грудня 2023 року,,,,СКЛАДАННЯ ЗАЛІКІВ  до 22 грудня 2023 року,,,,,,СКЛАДАННЯ ЗАЛІКІВ  до 22 грудня 2023 року,,,,СКЛАДАННЯ ЗАЛІКІВ  до 22 грудня 2023 року,,,,СКЛАДАННЯ ЗАЛІКІВ  до 22 грудня 2023 року,,,,,"СКЛАДАННЯ ЗАЛІКІВ 
 до 22 грудня 2023 року",,СКЛАДАННЯ ЗАЛІКІВ  до 22 грудня 2023 року,,,,,,СКЛАДАННЯ ЗАЛІКІВ  до 24 грудня 2022 року,,,,СКЛАДАННЯ ЗАЛІКІВ  до 31 січня 2025 року,,,,СКЛАДАННЯ ЗАЛІКІВ  до 31 січня 2025 року,,СКЛАДАННЯ ЗАЛІКІВ  до 31 січня 2025 року,,,,СКЛАДАННЯ ЗАЛІКІВ  до 31 січня 2025 року,,,,СКЛАДАННЯ ЗАЛІКІВ  до 11 листопада 2024 року,,СКЛАДАННЯ ЗАЛІКІВ  до 31 січня 2025 року,,,,СКЛАДАННЯ ЗАЛІКІВ  до 11 листопада 2024 року,,СКЛАДАННЯ ЗАЛІКІВ  до 11 листопада 2024 року,,СКЛАДАННЯ ЗАЛІКІВ  до 11 листопада 2024 року,,СКЛАДАННЯ ЗАЛІКІВ  до 31 січня 2025 року
,11.11. 2024,,,,,,,,,,,,,,,"14-00 академічна культура, 
доц. Бондаренко Г.П.",,"14-00 академічна культура, 
доц. Бондаренко Г.П.",,,,"Консультація,",,"Консультація,",,"Консультація,",,,,,,,,,,,,,,,,,,,,,"15:30 консультація 

",,"15:30 консультація 

",,"15:30 консультація 

",,"консультація 

",,"Управління проєктами в галузі ІТ,
доц. Стецик С.П.
",,,,"Фізика твердого тіла ,
доц. Павлова Н.Ю.
",,,,,,Математичні основи фінансових та актуарних розрахунків ст.викл. Сушко-Крикун О.С.,,,,,,"15:30 консультація 

",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.11. 2024,"Консультація,",,"Консультація,",,"Консультація,",,,,"Консультація,",,,,,,,,,,"Консультація,",,"11-00 академічна культура, 
доц. Бондаренко Г.П.",,"11-00 академічна культура, 
доц. Бондаренко Г.П.",,"11-00 академічна культура, 
доц. Бондаренко Г.П.",,"Консультація,",,,,,,,,,,,9:30 Консультація,,9:30 Консультація,,,,,,"Ідеї та методи сучасної математики,
проф. Працьовитий М.В.
",,"Ідеї та методи сучасної математики,
проф. Працьовитий М.В.
",,"Теорія чисел  та основні структури сучасної математики,
Ратушняк С.П.",,"Методика навчання інформатики в ЗВО,
Єфименко Т.О.
",,,,,,,,,,,,,,консультація,,,,"Ідеї та методи сучасної математики,
проф. Працьовитий М.В.
",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.11. 2024,"Історія української державності
доц. Подобєд О.А.
ауд.340",,"Історія української державності
доц. Подобєд О.А.
ауд.340",,"Історія української державності
доц. Подобєд О.А.
ауд.340",,,,"Історія української державності
доц. Подобєд О.А.
ауд.340",,,,,,,,,,"9-30 академічна культура, 
доц. Бондаренко Г.П.",,,,,,,,"9-30 академічна культура, 
доц. Бондаренко Г.П.",,,,,,, 14:00-16:30 Консультація,,,,"
9:30 Web-програмування
викл. Деркач А.С.
",,"
9:30 Web-програмування
викл. Деркач А.С.
",,,,,,,,,,,,,,,,,,,,,,,,,,"Технології програмування,
Козолуп Є.В.
",,консультація,,,,
